,domain,url,comment_id,username,user_id,comment,sentiment,toxicity,comment_original,language,links,upvotes,downvotes,published_date,reply_count,reply_to,crawled_time
0,infowars.com,https://www.infowars.com/trudeaus-victory-speech-turns-into-scandal-as-he-interrupts-rivals-address/,0080a048-b89a-47a1-956f-ce1b77219493,Long,268f2c8b-b1d4-472c-84ff-1cd0da7f17d9,"It's their phony bacon that's poisoned...
",0.0,0.39077762,It's their phony bacon that's poisoned...<br>,,,1.0,,1571777750000,1,87bbabff-22ec-4e0c-b751-419626246b1f,2020-05-11 11:45:50
1,infowars.com,https://www.infowars.com/trudeau-on-brink-amid-explosive-political-scandal/,010ce05a-21d8-464f-8ada-484fbc20ab56,MikeA,96fa4d30-aee6-45ac-b595-ec808524b0b8,What happened? Someone got a hair sample from him and compared it to Fidel Castro's DNA and found out he was Castro's love child? Same thing would happen if someone had some hair from Obama and Malcomb X,0.25,0.16887106000000002,What happened? Someone got a hair sample from him and compared it to Fidel Castro's DNA and found out he was Castro's love child? Same thing would happen if someone had some hair from Obama and Malcomb X,,,,,1551381579000,0,,2020-05-11 11:33:21
2,infowars.com,https://www.infowars.com/political-scientist-trudeau-blackface-scandal-could-cost-him-the-election/,03277abd-ba94-475b-90fa-35106416ee64,Spam_Mecca,0bf9c7ae-f1eb-4c05-b30c-284a8f036cac,He was going to lose even without the backface.,0.0,0.19157429,He was going to lose even without the backface.,,,1.0,,1568915483000,0,,2020-05-11 11:26:54
3,infowars.com,https://www.infowars.com/justin-trudeau-is-cancelled/,03a03fee-94ec-40a8-bff6-f9e6e80dfbcc,cockerspaniel,c38718e0-0cd7-431f-896a-12e51405e092,"Ha !  Tru-doh is racist, take that, troll !",0.0,0.91259766,"Ha !  Tru-doh is racist, take that, troll !",,,,,1568914229000,1,6cdea624-a383-42f7-ba7c-273954bba0c2,2020-05-11 13:25:27
4,infowars.com,https://www.infowars.com/political-scientist-trudeau-blackface-scandal-could-cost-him-the-election/,03cf8a2c-b436-43a1-b1b3-33e1c5746af1,popeye2009,42b44f65-7e47-441a-b17d-eef5f6ddab29,"Canada's version of a corrupt Democrat. A racist, groper, snake, criminal, anti gun, pro carbon tax and UN agenda's, hates Canada, obstructs oil pipelines, no money for vets or military only buys old used garbage, lots of scandals and over 5 ethics violations under investigation but then shuts down the rcmp investigation, uses fake polls, fake eyebrows, fake costumes, attends all gay parades, says he is pro women in politics then fires two of the best he has and pays off MSM to buy favours. Does this sound anything like America?
",-0.061574,0.5669056,"Canada's version of a corrupt Democrat. A racist, groper, snake, criminal, anti gun, pro carbon tax and UN agenda's, hates Canada, obstructs oil pipelines, no money for vets or military only buys old used garbage, lots of scandals and over 5 ethics violations under investigation but then shuts down the rcmp investigation, uses fake polls, fake eyebrows, fake costumes, attends all gay parades, says he is pro women in politics then fires two of the best he has and pays off MSM to buy favours. Does this sound anything like America?<br>",,,1.0,,1568917141000,0,,2020-05-11 11:26:53
5,infowars.com,https://www.infowars.com/canadas-wokest-pm-just-took-a-hit-in-the-polls-after-blackface-scandal/,048275c6-348a-4c27-89e0-32800e4e2208,CriswellSpeaks,a759aa27-c74b-4549-b1ef-a8df190fa630,"Given the billions Trudeau has budgeted to keep Canada's MSM afloat, I'm highly suspicious of any polls showing it's even close.  Granted the electorate in some regions are as politically corrupt as the Liberals they vote for, but who's going to publicly admit they support Justin Blackface at this point.",-0.085,0.36953065,"Given the billions Trudeau has budgeted to keep Canada's MSM afloat, I'm highly suspicious of any polls showing it's even close.  Granted the electorate in some regions are as politically corrupt as the Liberals they vote for, but who's going to publicly admit they support Justin Blackface at this point.",,,,,1569166719000,0,,2020-05-11 11:26:48
6,infowars.com,https://www.infowars.com/o-canada-memes-mock-justin-blackface-trudeau/,04ff5090-ca85-481f-b792-b966a489c590,PEDOHUNTER,c8a07864-8f11-4916-a2f6-95b979786765,"I would rather want to know how many times Justin's daddy, Pierre, shows up in the Lollita Express manifest. He was a raging pedophile and there are many who will attest to that FACT. Does the apple fall far from the tree? I don't think so.
",0.36666699999999997,0.6079781,"I would rather want to know how many times Justin's daddy, Pierre, shows up in the Lollita Express manifest. He was a raging pedophile and there are many who will attest to that FACT. Does the apple fall far from the tree? I don't think so.<br>",,,,,1568991728000,0,,2020-05-11 03:09:11
7,infowars.com,https://www.infowars.com/political-scientist-trudeau-blackface-scandal-could-cost-him-the-election/,0625b254-eb04-43fc-9efc-56b99cf152fc,WEREFEAT175,c8169878-4a4c-4cc8-822f-c885e3bf9b34,"Yup. So is ""homophobia."" So is ""The Family."" So is ""Nationalism."" ",0.0,0.3957476,"Yup. So is ""homophobia."" So is ""The Family."" So is ""Nationalism."" ",,,,,1568993806000,0,a2e6223c-c962-4117-81ff-c5e5ce096ec3,2020-05-11 11:26:44
8,infowars.com,https://www.infowars.com/yet-more-high-quality-video-of-trudeau-in-blackface-has-emerged/,06655df5-63ea-4670-aaad-7385ab824771,desktom,bcb5c347-59c4-4869-9046-50e8c6d42f17,"That was true before the far left crowd went fully insane. Mehgan Kelly was kicked off of her show for saying exactly what you just said. She apologized , she never wore black face , she just said what you said, and they hounded her until she left. The far left douchebags need to be shamed and insulted for their evil disgusting hypocrisy. ",-0.21515199999999998,0.7609777,"That was true before the far left crowd went fully insane. Mehgan Kelly was kicked off of her show for saying exactly what you just said. She apologized , she never wore black face , she just said what you said, and they hounded her until she left. The far left douchebags need to be shamed and insulted for their evil disgusting hypocrisy. ",,,2.0,,1569811955000,1,9a3b3755-278d-4d58-ad40-260682e9a213,2020-05-11 13:25:42
9,infowars.com,https://www.infowars.com/second-blackface-photo-of-justin-trudeau-emerges/,074dc5d1-94eb-4b1c-9dd4-b2632c809034,csarocker1,2f5c8b1c-5fcf-4821-a8dc-13ee6b24e39a,UPVOTE Buggin!!,0.0,0.23433827000000002,UPVOTE Buggin!!,,,1.0,,1568904698000,0,a5b62f86-47ab-4030-a03b-8fa4d211edf3,2020-05-11 11:26:52
10,infowars.com,https://www.infowars.com/justin-trudeau-wants-to-censor-the-internet-if-he-wins-re-election/,074fc314-71dc-4274-9009-ef392fd2dfe2,logic,5e9d7e6d-e672-4127-ba13-a7b7d3b97114,"I'd lobe to know how Trudeau won re election? Hes fuckes Canada so bad that I've heard nothing but bitching since hes been prime minister.

Fuck.....4 more years of this tard",-0.1,0.92703164,I'd lobe to know how Trudeau won re election? Hes fuckes Canada so bad that I've heard nothing but bitching since hes been prime minister.<br><br>Fuck.....4 more years of this tard,,,,,1571726585000,3,,2020-05-11 11:45:43
11,infowars.com,https://www.infowars.com/trudeaus-victory-speech-turns-into-scandal-as-he-interrupts-rivals-address/,07af9484-b9c3-4781-88da-f0efb89469d7,mtcrow,c9126c81-362f-4e10-8066-686a7e5cbf88,"Canada is as bad or worse than America with these commies trying to rule over the people.  It's coming soon, be prepared.",-0.55,0.50460804,"Canada is as bad or worse than America with these commies trying to rule over the people.  It's coming soon, be prepared.",,,,,1571931524000,0,,2020-05-11 11:45:38
